ModelName,TrainAccuracy,ValidationAccuracy,Precision,Recall,TestAccuracy
BaseDecisionTree,1.0,0.9323231432216644,0.8913270914205287,0.8888765894942264,0.94
TunedDecisionTree,0.7604631699430073,0.7583116930617022,0.6910046881108407,0.5936302278891674,
KNN,0.9726095478241038,0.9353352095946506,0.9098489175220517,0.8888719138157389,0.94
